ID,Domain,Difficulty_Level,Question,Reference_Answer
75,Core CS & OS,Medium,Explain the concept of a zombie process.,A zombie process is a child process that has finished execution but still has an entry in the process table because its parent hasn't read its exit status using wait().
76,AI/ML,Medium,Could you explain this: How does a Random Forest Classifier make predictions?,"It trains multiple decision trees on subsets of the data and aggregates their outputs (e.g., via majority voting for classification) to improve accuracy and prevent overfitting."
77,Data Structures & Algorithms,Medium,Interview Question: What is the primary characteristic of an AVL tree?,It is a self-balancing binary search tree where the height difference between the left and right subtrees of any node is at most 1.
78,AI/ML,Medium,Please answer the following: Explain the concept of cross-validation.,"It is a technique used to evaluate ML models by dividing the dataset into multiple folds, training on some and testing on others to ensure the model generalizes well."
79,Data Structures & Algorithms,Easy,"Please answer the following: In a hash table of size 10, how is out-of-bounds indexing prevented?","The hash function must restrict outputs to valid indices (0 to 9). If the size is 10, an index like 12 cannot be present; a modulo operator handles this mapping."
80,Core CS & OS,Easy,Could you explain this: What is a segmentation fault?,It is a memory access error that occurs when a program tries to read or write to a memory location it is not allowed to access.
81,Data Structures & Algorithms,Hard,Interview Question: How are nodes placed in a Huffman coding tree during construction?,"Nodes are merged based on frequency. When comparing two nodes, the one with the greater frequency (e.g., if 'b' is greater than 'c') is placed on the right branch."
82,AI/ML,Hard,Define and explain: How can chemical structures be processed by machine learning models?,"Chemical structures are often represented using SMILES notation, which can be converted into Morgan fingerprints (numerical arrays) to train models for tasks like reaction prediction."
83,AI/ML,Medium,Candidate prompt: What is the purpose of an activation function in a neural network?,"It introduces non-linearity into the network, allowing it to learn complex patterns instead of just linear transformations."
84,AI/ML,Medium,Could you explain this: What is the purpose of an activation function in a neural network?,"It introduces non-linearity into the network, allowing it to learn complex patterns instead of just linear transformations."
85,Data Structures & Algorithms,Medium,Could you explain this: What is the primary characteristic of an AVL tree?,It is a self-balancing binary search tree where the height difference between the left and right subtrees of any node is at most 1.
86,Data Structures & Algorithms,Easy,"In a hash table of size 10, how is out-of-bounds indexing prevented?","The hash function must restrict outputs to valid indices (0 to 9). If the size is 10, an index like 12 cannot be present; a modulo operator handles this mapping."
87,Behavioral,Medium,Describe a time you solved a complex technical bug.,"I break down the problem, isolate the components, use debugging tools to trace the logic step-by-step, and consult documentation or peers if needed."
88,Core CS & OS,Easy,Candidate prompt: What is a segmentation fault?,It is a memory access error that occurs when a program tries to read or write to a memory location it is not allowed to access.
89,Data Structures & Algorithms,Medium,Could you explain this: What is the time complexity of searching in a max heap?,Searching for an arbitrary element in a max heap takes O(n) time because heaps are not completely sorted like BSTs.
90,Core CS & OS,Easy,Candidate prompt: What is a segmentation fault?,It is a memory access error that occurs when a program tries to read or write to a memory location it is not allowed to access.
91,AI/ML,Medium,Interview Question: Explain the concept of cross-validation.,"It is a technique used to evaluate ML models by dividing the dataset into multiple folds, training on some and testing on others to ensure the model generalizes well."
92,Data Structures & Algorithms,Easy,"In a hash table of size 10, how is out-of-bounds indexing prevented?","The hash function must restrict outputs to valid indices (0 to 9). If the size is 10, an index like 12 cannot be present; a modulo operator handles this mapping."
93,AI/ML,Medium,Candidate prompt: Explain the concept of cross-validation.,"It is a technique used to evaluate ML models by dividing the dataset into multiple folds, training on some and testing on others to ensure the model generalizes well."
94,Core CS & OS,Medium,Could you explain this: Explain the concept of a zombie process.,A zombie process is a child process that has finished execution but still has an entry in the process table because its parent hasn't read its exit status using wait().
95,Core CS & OS,Hard,"Define and explain: Describe the interaction between fork(), exec(), and wait() in C.",fork() creates a duplicate child process. exec() replaces the child's memory space with a new program. wait() is used by the parent process to pause execution until the child terminates.
96,Data Structures & Algorithms,Medium,Interview Question: Explain the core logic of the Job Selection problem.,"In Job Selection, the time taken to do each job is exactly 1 unit. You sort jobs by profit and assign them to the latest available time slot before their deadline."
97,Data Structures & Algorithms,Easy,"Could you explain this: In a hash table of size 10, how is out-of-bounds indexing prevented?","The hash function must restrict outputs to valid indices (0 to 9). If the size is 10, an index like 12 cannot be present; a modulo operator handles this mapping."
98,Data Structures & Algorithms,Hard,How are nodes placed in a Huffman coding tree during construction?,"Nodes are merged based on frequency. When comparing two nodes, the one with the greater frequency (e.g., if 'b' is greater than 'c') is placed on the right branch."
99,Data Structures & Algorithms,Medium,Interview Question: What is the primary characteristic of an AVL tree?,It is a self-balancing binary search tree where the height difference between the left and right subtrees of any node is at most 1.
100,AI/ML,Easy,Candidate prompt: What is the difference between Data Science and Machine Learning?,"Data Science is a broader field focused on extracting insights using statistics and analytics, whereas Machine Learning is a subset focused on building algorithms that learn from data to make predictions."
101,Data Structures & Algorithms,Medium,Define and explain: Explain the core logic of the Job Selection problem.,"In Job Selection, the time taken to do each job is exactly 1 unit. You sort jobs by profit and assign them to the latest available time slot before their deadline."
102,Core CS & OS,Medium,Please answer the following: What is the primary difference in memory management between C and C++?,"C uses malloc() and free() for raw memory allocation, while C++ uses new and delete, which additionally handle the invocation of object constructors and destructors."
103,Core CS & OS,Medium,Could you explain this: What is the primary difference in memory management between C and C++?,"C uses malloc() and free() for raw memory allocation, while C++ uses new and delete, which additionally handle the invocation of object constructors and destructors."
104,Data Structures & Algorithms,Medium,What is the time complexity of searching in a max heap?,Searching for an arbitrary element in a max heap takes O(n) time because heaps are not completely sorted like BSTs.
105,AI/ML,Medium,Define and explain: Explain the concept of cross-validation.,"It is a technique used to evaluate ML models by dividing the dataset into multiple folds, training on some and testing on others to ensure the model generalizes well."
106,AI/ML,Hard,How can chemical structures be processed by machine learning models?,"Chemical structures are often represented using SMILES notation, which can be converted into Morgan fingerprints (numerical arrays) to train models for tasks like reaction prediction."
107,Data Structures & Algorithms,Medium,Could you explain this: What is the time complexity of searching in a max heap?,Searching for an arbitrary element in a max heap takes O(n) time because heaps are not completely sorted like BSTs.
108,AI/ML,Medium,Could you explain this: Explain the concept of cross-validation.,"It is a technique used to evaluate ML models by dividing the dataset into multiple folds, training on some and testing on others to ensure the model generalizes well."
109,Data Structures & Algorithms,Hard,How are nodes placed in a Huffman coding tree during construction?,"Nodes are merged based on frequency. When comparing two nodes, the one with the greater frequency (e.g., if 'b' is greater than 'c') is placed on the right branch."
110,AI/ML,Hard,Candidate prompt: How can chemical structures be processed by machine learning models?,"Chemical structures are often represented using SMILES notation, which can be converted into Morgan fingerprints (numerical arrays) to train models for tasks like reaction prediction."
111,Data Structures & Algorithms,Easy,"Candidate prompt: In a hash table of size 10, how is out-of-bounds indexing prevented?","The hash function must restrict outputs to valid indices (0 to 9). If the size is 10, an index like 12 cannot be present; a modulo operator handles this mapping."
112,AI/ML,Medium,Candidate prompt: Explain the concept of cross-validation.,"It is a technique used to evaluate ML models by dividing the dataset into multiple folds, training on some and testing on others to ensure the model generalizes well."
113,Data Structures & Algorithms,Medium,Define and explain: What is the primary characteristic of an AVL tree?,It is a self-balancing binary search tree where the height difference between the left and right subtrees of any node is at most 1.
114,Data Structures & Algorithms,Medium,Interview Question: Explain the core logic of the Job Selection problem.,"In Job Selection, the time taken to do each job is exactly 1 unit. You sort jobs by profit and assign them to the latest available time slot before their deadline."
115,AI/ML,Medium,Please answer the following: What is the purpose of an activation function in a neural network?,"It introduces non-linearity into the network, allowing it to learn complex patterns instead of just linear transformations."
116,Behavioral,Medium,Please answer the following: Describe a time you solved a complex technical bug.,"I break down the problem, isolate the components, use debugging tools to trace the logic step-by-step, and consult documentation or peers if needed."
117,Core CS & OS,Hard,"Describe the interaction between fork(), exec(), and wait() in C.",fork() creates a duplicate child process. exec() replaces the child's memory space with a new program. wait() is used by the parent process to pause execution until the child terminates.
118,Core CS & OS,Medium,Could you explain this: Explain the concept of a zombie process.,A zombie process is a child process that has finished execution but still has an entry in the process table because its parent hasn't read its exit status using wait().
119,Data Structures & Algorithms,Medium,Candidate prompt: Explain the core logic of the Job Selection problem.,"In Job Selection, the time taken to do each job is exactly 1 unit. You sort jobs by profit and assign them to the latest available time slot before their deadline."
120,AI/ML,Medium,Define and explain: What is the purpose of an activation function in a neural network?,"It introduces non-linearity into the network, allowing it to learn complex patterns instead of just linear transformations."
121,AI/ML,Easy,Define and explain: What is the difference between Data Science and Machine Learning?,"Data Science is a broader field focused on extracting insights using statistics and analytics, whereas Machine Learning is a subset focused on building algorithms that learn from data to make predictions."
122,AI/ML,Easy,Please answer the following: What is the difference between Data Science and Machine Learning?,"Data Science is a broader field focused on extracting insights using statistics and analytics, whereas Machine Learning is a subset focused on building algorithms that learn from data to make predictions."
123,Data Structures & Algorithms,Medium,Define and explain: What is the primary characteristic of an AVL tree?,It is a self-balancing binary search tree where the height difference between the left and right subtrees of any node is at most 1.
124,Core CS & OS,Medium,What is the primary difference in memory management between C and C++?,"C uses malloc() and free() for raw memory allocation, while C++ uses new and delete, which additionally handle the invocation of object constructors and destructors."
125,AI/ML,Hard,Define and explain: How can chemical structures be processed by machine learning models?,"Chemical structures are often represented using SMILES notation, which can be converted into Morgan fingerprints (numerical arrays) to train models for tasks like reaction prediction."
126,Data Structures & Algorithms,Hard,Could you explain this: How are nodes placed in a Huffman coding tree during construction?,"Nodes are merged based on frequency. When comparing two nodes, the one with the greater frequency (e.g., if 'b' is greater than 'c') is placed on the right branch."
127,Data Structures & Algorithms,Medium,Define and explain: What is the primary characteristic of an AVL tree?,It is a self-balancing binary search tree where the height difference between the left and right subtrees of any node is at most 1.
128,Data Structures & Algorithms,Easy,"In a hash table of size 10, how is out-of-bounds indexing prevented?","The hash function must restrict outputs to valid indices (0 to 9). If the size is 10, an index like 12 cannot be present; a modulo operator handles this mapping."
129,AI/ML,Hard,Define and explain: How can chemical structures be processed by machine learning models?,"Chemical structures are often represented using SMILES notation, which can be converted into Morgan fingerprints (numerical arrays) to train models for tasks like reaction prediction."
130,Data Structures & Algorithms,Medium,What is the primary characteristic of an AVL tree?,It is a self-balancing binary search tree where the height difference between the left and right subtrees of any node is at most 1.
131,Data Structures & Algorithms,Medium,Could you explain this: What is the time complexity of searching in a max heap?,Searching for an arbitrary element in a max heap takes O(n) time because heaps are not completely sorted like BSTs.
132,Core CS & OS,Medium,Please answer the following: Explain the concept of a zombie process.,A zombie process is a child process that has finished execution but still has an entry in the process table because its parent hasn't read its exit status using wait().
133,Data Structures & Algorithms,Medium,What is the primary characteristic of an AVL tree?,It is a self-balancing binary search tree where the height difference between the left and right subtrees of any node is at most 1.
134,AI/ML,Medium,Interview Question: What is the purpose of an activation function in a neural network?,"It introduces non-linearity into the network, allowing it to learn complex patterns instead of just linear transformations."
135,Data Structures & Algorithms,Medium,Interview Question: What is the primary characteristic of an AVL tree?,It is a self-balancing binary search tree where the height difference between the left and right subtrees of any node is at most 1.
136,Core CS & OS,Hard,"Could you explain this: Describe the interaction between fork(), exec(), and wait() in C.",fork() creates a duplicate child process. exec() replaces the child's memory space with a new program. wait() is used by the parent process to pause execution until the child terminates.
137,Core CS & OS,Medium,Define and explain: What is the primary difference in memory management between C and C++?,"C uses malloc() and free() for raw memory allocation, while C++ uses new and delete, which additionally handle the invocation of object constructors and destructors."
138,Behavioral,Medium,Interview Question: Describe a time you solved a complex technical bug.,"I break down the problem, isolate the components, use debugging tools to trace the logic step-by-step, and consult documentation or peers if needed."
139,AI/ML,Easy,Define and explain: What is the difference between Data Science and Machine Learning?,"Data Science is a broader field focused on extracting insights using statistics and analytics, whereas Machine Learning is a subset focused on building algorithms that learn from data to make predictions."
140,AI/ML,Medium,Candidate prompt: How does a Random Forest Classifier make predictions?,"It trains multiple decision trees on subsets of the data and aggregates their outputs (e.g., via majority voting for classification) to improve accuracy and prevent overfitting."
141,Data Structures & Algorithms,Easy,"Please answer the following: In a hash table of size 10, how is out-of-bounds indexing prevented?","The hash function must restrict outputs to valid indices (0 to 9). If the size is 10, an index like 12 cannot be present; a modulo operator handles this mapping."
142,Behavioral,Medium,Please answer the following: How do you handle missing deadlines on a collaborative project?,"I communicate the issue early to the team, take responsibility, and propose a revised timeline or ask for assistance to mitigate the impact."
143,Behavioral,Medium,Interview Question: How do you handle missing deadlines on a collaborative project?,"I communicate the issue early to the team, take responsibility, and propose a revised timeline or ask for assistance to mitigate the impact."
144,AI/ML,Medium,What is the purpose of an activation function in a neural network?,"It introduces non-linearity into the network, allowing it to learn complex patterns instead of just linear transformations."
145,Core CS & OS,Medium,Could you explain this: What is the primary difference in memory management between C and C++?,"C uses malloc() and free() for raw memory allocation, while C++ uses new and delete, which additionally handle the invocation of object constructors and destructors."
146,Behavioral,Medium,Could you explain this: How do you handle missing deadlines on a collaborative project?,"I communicate the issue early to the team, take responsibility, and propose a revised timeline or ask for assistance to mitigate the impact."
147,AI/ML,Easy,What is the difference between Data Science and Machine Learning?,"Data Science is a broader field focused on extracting insights using statistics and analytics, whereas Machine Learning is a subset focused on building algorithms that learn from data to make predictions."
148,Data Structures & Algorithms,Medium,Interview Question: Explain the core logic of the Job Selection problem.,"In Job Selection, the time taken to do each job is exactly 1 unit. You sort jobs by profit and assign them to the latest available time slot before their deadline."
149,AI/ML,Medium,Interview Question: Explain the concept of cross-validation.,"It is a technique used to evaluate ML models by dividing the dataset into multiple folds, training on some and testing on others to ensure the model generalizes well."
150,AI/ML,Medium,Interview Question: What is the purpose of an activation function in a neural network?,"It introduces non-linearity into the network, allowing it to learn complex patterns instead of just linear transformations."
151,Behavioral,Medium,Interview Question: Describe a time you solved a complex technical bug.,"I break down the problem, isolate the components, use debugging tools to trace the logic step-by-step, and consult documentation or peers if needed."
152,AI/ML,Easy,What is the difference between Data Science and Machine Learning?,"Data Science is a broader field focused on extracting insights using statistics and analytics, whereas Machine Learning is a subset focused on building algorithms that learn from data to make predictions."
153,Data Structures & Algorithms,Hard,Please answer the following: How are nodes placed in a Huffman coding tree during construction?,"Nodes are merged based on frequency. When comparing two nodes, the one with the greater frequency (e.g., if 'b' is greater than 'c') is placed on the right branch."
154,Core CS & OS,Medium,What is the primary difference in memory management between C and C++?,"C uses malloc() and free() for raw memory allocation, while C++ uses new and delete, which additionally handle the invocation of object constructors and destructors."
155,AI/ML,Easy,Please answer the following: What is the difference between Data Science and Machine Learning?,"Data Science is a broader field focused on extracting insights using statistics and analytics, whereas Machine Learning is a subset focused on building algorithms that learn from data to make predictions."
156,Data Structures & Algorithms,Medium,Could you explain this: Explain the core logic of the Job Selection problem.,"In Job Selection, the time taken to do each job is exactly 1 unit. You sort jobs by profit and assign them to the latest available time slot before their deadline."
157,Data Structures & Algorithms,Medium,Could you explain this: What is the primary characteristic of an AVL tree?,It is a self-balancing binary search tree where the height difference between the left and right subtrees of any node is at most 1.
158,Data Structures & Algorithms,Medium,Candidate prompt: What is the time complexity of searching in a max heap?,Searching for an arbitrary element in a max heap takes O(n) time because heaps are not completely sorted like BSTs.
